element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
N,4,264.565,0.010,250,7.94e+00,C+,516552.6,554339.7,,T5600c20,L4738
Ne,3,264.565,0.010,200bl,5.8e-01,D,439748.13,477534.680,,T8046,L10704
V,2,264.583623,0.000021,23000,8.8e-01,B,14461.7495,52245.733,,T9770,L18516
Ti,2,264.586522,0.000014,2180,2.7e+00,D,31301.0653,69084.6309,,T2805,u37
Fe,2,264.59045,0.00010,3000,3.3e-01,D+,47389.809,85172.826,,T6892c83,L18349c139
Co,2,264.59903,0.00003,1800,7.e-01,D,61240.746,99022.528,,T6999,L9429c118
Fe,2,264.60970,0.00004,1800,4.1e-01,D+,69650.481,107430.742,,T6892c83,L18349c139
N,4,264.618,0.010,300*,6.95e-01,C+,516560.8,554339.7,,"T5600c20,LS",L4738
N,4,264.618,0.010,300*,8.08e+00,C+,516560.8,554339.7,,T5600c20,L4738
Cs,3,264.62096,0.00008,20000,2.80e-01,,135747.850,173526.505,,T8611,L14869
Fe,2,264.62133,0.00009,3000,1.44e-02,C+,26170.1810,63948.803,,T7461,L18349c139
V,2,264.62329,0.00021,4400,2.3e-01,C,37937.703,75716.036,,T9770,L18516
Cs,3,264.6277,0.0014,1500bl,5.78e-02,,173526.505,211304.133,,T8611,L14869
Fe,2,264.6322,0.0004,1100,7.5e-02,D+,54870.541,92647.591,,T6892c83,L18349c139
Ba,1,264.650,0.005,1h,1.1e-02,E,0.000,37775.28,,T4515,L7361
Ti,1,264.6625,0.0003,15,1.5e+00,C,386.874,38159.461,,T3499n,L10989
Co,2,264.66427,0.00013,620,1.0e-01,D,69637.023,107409.476,,T6999,L9429c118
W,1,264.6730,0.0010,80,1.55e-01,B,4830.00,42601.19,,T6977,L153
Fe,3,264.6750,0.0019,2100*,1.1e-02,D,83238.19,121008.91,,T6105,L3495
Co,2,264.68260,0.00008,350,1.2e-01,D,64601.778,102371.610,,T6999,L9429c118
Pt,1,264.68804,0.00007,27000,2.21e-01,B+,0.0000,37769.0673,,T3313n,L11529
Cs,3,264.6940,0.0005,75c,3.38e-06,,199695.552,237463.780,,T8611,L14869
N,4,264.696,0.010,350*,5.40e-01,C+,516572.0,554339.7,,"T5600c20,LS",L4738
N,4,264.696,0.010,350*,1.06e-02,C+,516572.0,554339.7,,"T5600c20,LS",L4738
N,4,264.696,0.010,350*,8.63e+00,C+,516572.0,554339.7,,T5600c20,L4738
Tc,2,264.701,0.010,1000c,3.7e+00,,0.00,37767.21,,T6050,L4515
Fe,2,264.70264,0.00011,1100,1.9e-01,D+,62151.554,99918.563,,T6892c83,L18349c139
Ba,2,264.72608,0.00010,64,2.26e-01,B,20261.561,58025.211,,"T3225,T7387",L9224
Co,2,264.73610,0.00005,320,1.3e-01,D,61260.319,99022.528,,T6999,L9429c118
Fe,2,264.7395,0.0005,400bl(Fe I),1.8e-02,D,60807.239,98568.907,,T6892c83,L18349c143
Fe,1,264.75574,0.00002,170,5.20e-03,B,415.933,38175.355,,T5720,L11631
Fe,2,264.76208,0.00008,1300,1.3e-01,D+,62065.528,99824.051,,T6892c83,L18349c139
Mn,2,264.7624,0.0006,80,6.1e-02,D+,32787.90,70546.34,,T7259,L562
Fe,2,264.7703,0.0005,140d,3.7e-02,D+,69650.481,107407.818,,T6892c83,L18349c143
V,1,264.77055,0.00009,370000,4.9e-01,B,0.000,37757.309,,T9399,L15916
Mn,2,264.8056,0.0006,80,1.9e+00,D,43395.395,81147.76,,c88,L562
Co,2,264.84013,0.00003,1100,4.1e-01,D,47848.781,85596.170,,T6999,L9429c118
V,2,264.84661,0.00004,6300,1.04e+00,B,26839.749,64586.215,,T9770,L18516
Fe,2,264.8537,0.0005,400,3.1e-02,D,54902.286,92647.591,,T6892c83,L18349c143
Co,2,264.86417,0.00003,35000bl(Co I),5.9e-01,C+,30567.173,68311.113,,T6999,L9429c118
Fe,2,264.86906,0.00007,4000,1.9e-01,D+,46967.4751,84710.749,,T6892c83,L18349c139
Mn,2,264.8938,0.0006,100,7.e-01,D,32787.90,70527.61,,c88,L562
Fe,2,264.9005,0.0005,140d,2.7e-02,D+,66012.775,103751.672,,T6892c83,L18349c142
Cs,3,264.90405,0.00009,14000,5.10e-02,,138543.477,176281.761,,T8611,L14869
Fe,2,264.92209,0.00007,2200,2.5e-01,D+,61332.753,99068.465,,T6892c83,L18349c139
V,2,264.932549,0.000016,290000,4.3e+00,D+,34946.6366,72680.855,,T9770,L18516
Mo,1,264.9458,0.0010,640,9.8e-01,B,11858.498,49590.828,,T5293,"L10250,L3475"
Fe,2,264.94689,0.00005,5000,1.98e+00,B+,54870.541,92602.711,,T6892c83,L18349c139
Co,2,264.99113,0.00003,4000bl(Co I),2.4e+00,C+,70774.869,108500.862,,T6999,L9429c118
Fe,2,264.9973,0.0005,250d?,1.8e-02,D,58631.623,96356.551,,T6892c83,L18349c143
Fe,2,265.00192,0.00007,2000,3.8e-01,D+,61332.753,99057.089,,T6892c83,L18349c139
Co,2,265.00837,0.00003,3500,9.7e-01,C+,63510.180,101233.605,,T6999,L9429c118
Cd,2,265.0293,0.0010,8,2.3e-03,D+,82990.66,120711.18,,T3096,L3540
In,2,265.0296,0.0011,500,8.e-02,D+,107662.707,145382.99,,T9131,L3548c127
Be,1,265.0454,0.0010,12,1.06e+00,A,21978.925,59696.98,,T7096c74,L4743
Fe,2,265.048118,0.000013,40000,1.60e+00,C+,46967.4751,84685.245,,T7186,L18349c139
Be,1,265.0550,0.0010,11,1.41e+00,A,21978.31,59694.99,,T7096c74,L4743
V,4,265.0613,0.0010,8,3.6e-01,D,217108.0,254824.1,,T2757,L147
Be,1,265.0613,0.0010,12,1.06e+00,A,21978.925,59694.99,,T7096c74,L7412
Be,1,265.0619,0.0010,15,3.17e+00,A,21981.26,59696.98,,T7096c74,L4743
Be,1,265.0694,0.0010,11,4.23e+00,A,21978.925,59693.60,,T7096c74,L4743
Cs,3,265.07446,0.00005,44000,1.77e+00,,140794.613,178508.625,,T8611,L14869
Be,1,265.0760,0.0010,13,1.76e+00,A,21981.26,59694.99,,T7096c74,L4743
Fe,2,265.07660,0.00010,500,9.e-02,D+,72352.046,110065.766,,T6892c83,L18349c139
Pt,1,265.085269,0.000011,90000,9.60e-02,B+,823.6608,38536.1439,,T3313,"L9083,L11529"
Tm,1,265.0950,0.0005,150,3.8e-03,C+,0.000,37711.074,,T3042n,L2006
Mn,2,265.1036,0.0006,80,3.6e-01,D,32787.90,70497.790,,c88,L562
Ge,1,265.11720,0.00010,1200,2.0e+00,C,1409.9609,39117.9021,,T4515,L3476
Fe,2,265.1299,0.0005,400,4.0e-03,D,26170.1810,63876.325,,T6892c83,L18349c142
V,2,265.153543,0.000021,26000,4.5e-01,D,34745.8281,72448.6001,,T9770,L18516
Ge,1,265.15683,0.00010,500,8.5e-01,C,0.0000,37702.3054,,T4515,L3476
Fe,2,265.16891,0.00006,5000,1.7e-01,D+,38214.503,75915.080,,T6892c83,L18349c139
Fe,1,265.17060,0.00002,437,9.72e-03,B,7728.060,45428.402,,T5720,L11631
Fe,2,265.1840,0.0005,310bl(Fe II)*,6.8e-02,D+,54904.241,92602.711,,T6892c83,L18349c143
Mn,2,265.1868,0.0006,40,6.e-01,D,49882.208,87580.34,,c88,L562
V,1,265.18937,0.00009,580000,3.32e-01,B+,137.383,37835.065,,T9399,L15916
Cs,3,265.20196,0.00008,66000,5.60e+00,,160647.193,198343.092,,T8611,L14869
Hg,1,265.2039,0.0006,1600,3.9e-01,B+,39412.237,77107.807,,T5292,L3451
Fe,2,265.2098,0.0002,330,7.e-03,D,67516.328,105211.079,,T6892c83,L18349c139
Co,2,265.21984,0.00003,2500,3.2e-01,D,46320.832,84014.181,,T6999,L9429c118
Al,1,265.2484,0.0010,10g,1.42e-01,B,0.000,37689.407,,T7365,L3514
Mn,2,265.2497,0.0006,200,4.3e-01,C+,32857.27,70546.34,,T7259,L562
Fe,2,265.25665,0.00006,5000,4.5e-02,C+,26352.7671,64040.891,,T7461,L18349c139
V,2,265.2713,0.0007,29000,4.3e+00,D+,47056.321,84742.30,,T9770,L10089c179
Co,2,265.27820,0.00003,5900,3.7e-02,D,27468.988,65154.041,,T6999,L9429c118
W,2,265.30010,0.00010,4,3.56e-02,B,11301.024,48982.939,,T7162,L11762
Fe,2,265.3305,0.0005,"140d,bl(Fe II)?*",1.1e-02,D,65931.358,103608.921,,T6892c83,L18349c142
Hg,2,265.3381,0.0002,3000,7.7e-02,,108975.732,146652.263,,T7226,L11760
W,2,265.34200,0.00010,21,1.33e-01,B,16553.087,54229.082,,T7162,L11762
Fe,2,265.35572,0.00005,3400,8.4e-01,C+,62244.515,99918.563,,T6892c83,L18349c139
W,2,265.355999,0.000010,120,3.79e-02,B,4716.278,42390.287,,T7162,L11762
Cr,2,265.358060,0.000006,840,3.5e-01,D,12032.5447,49706.2607,,T3683,L18847
Nb,4,265.3581,0.0021,70000,2.2e-01,C,188123.66,225797.08,,T2192,L12094
Fe,2,265.36666,0.00004,3200,5.8e-01,C+,62151.554,99824.051,,T6892c83,L18349c139
Co,2,265.37131,0.00003,5100,4.2e-01,D,18338.640,56010.475,,T6999,L9429c118
Yb,2,265.375,0.010,990,3.90e+00,,21418.75,59090.13,,T6917,L3475
Fe,2,265.3887,0.0005,230d?,6.e-03,D,60625.446,98294.909,,T6892c83,L18349c143
Fe,2,265.4330,0.0005,160,6.e-03,D,72238.564,109901.523,,T6892c83,L18349c142
Fe,2,265.44020,0.00012,400,4.6e-02,D+,70986.667,108648.712,,T6892c83,L18349c139
Co,2,265.4503,0.0015,"32d,i",1.8e-02,D,64360.050,102020.364,,T6999,L4687c119
Fe,2,265.46285,0.00002,14000,8.1e-01,C+,47389.809,85048.655,,T6892c83,L18349c139
Co,2,265.46665,0.00015,430,1.3e-01,D,63792.717,101451.074,,T6999,L9429c118
Fe,2,265.4818,0.0005,120d?,1.6e-02,D+,72352.046,110008.310,,T6892c83,L18349c143
Mo,1,265.5020,0.0010,560h,4.1e-01,B,12346.280,49999.575,,T5293,"L10250,L3475"
Hg,1,265.5134,0.0002,400,1.10e-01,B,39412.237,77063.970,,T5292,L3456
Fe,2,265.5364,0.0005,800d?,1.1e-02,D,42237.0575,79885.523,,T6892c83,L18349c143
Ca,3,265.5382,0.0005,380,4.5e-01,B,290934.30,328582.45,,u33,L1405
V,4,265.5408,0.0010,50,2.7e+00,D,218100.0,255747.6,,T2757,"L147,L11926"
Si,3,265.551,0.010,14,1.35e+00,B,204828.06,242474.27,,T6298c4,L4833
V,2,265.564733,0.000016,340000,4.5e+00,D+,35193.1820,72837.5795,,T9770,L18516
Co,2,265.56895,0.00009,510,6.e-01,D,70857.053,108500.862,,T6999,L9429c118
Fe,2,265.56927,0.00002,3100,1.45e+00,B+,70986.667,108630.427,,T6892c83,L18349c139
Mn,2,265.5820,0.0006,40,8.e-01,D,44745.501,82387.62,,c88,L562
Mn,2,265.5924,0.0006,300,2.1e+00,C,32857.27,70497.790,,c88,L562
Fe,2,265.6039,0.0005,"150d,bl(Fe II)?*",1.0e-02,D,67516.328,105155.093,,T6892c83,L18349c143
Fe,2,265.60861,0.00008,1700,1.2e-01,D+,60807.239,98445.410,,T6892c83,L18349c139
Fe,1,265.61453,0.00006,479,1.63e-01,B,19390.168,57027.513,,T5720,L11631
Mn,2,265.6170,0.0006,200,2.0e+00,D,36274.62,73911.57,,c88,L562
V,1,265.62213,0.00009,610000,3.4e-01,B,323.432,37959.695,,T9399,L15916
Co,2,265.62255,0.00003,7200,1.9e+00,C+,63597.396,101233.605,,T6999,L9429c118
Cs,3,265.6260,0.0004,5300h,4.75e-01,,181544.785,219180.537,,T8611,L14869
Co,2,265.63617,0.00003,5100,1.9e+00,C+,61388.250,99022.528,,T6999,L9429c118
Zr,3,265.6488,0.0010,1000000,1.95e+00,,18805.30,56437.77,,T6869,L9267
W,1,265.6540,0.0010,300r,6.7e-01,B,2951.29,40583.07,,T6977,L153
Ag,2,265.65404,0.00004,2500,1.3e-01,D+,89134.7240,126766.4681,,T9142,L11881c113
Co,2,265.66434,0.00003,1400,3.4e-01,D,47537.365,85167.645,,T6999,L9429c118
Fe,1,265.67917,0.00020,174bl,1.45e-02,B,11976.239,49604.427,,T5720,L11631
Ag,2,265.680859,0.000021,6200,2.90e-01,B+,89895.5377,127523.4831,,T3754,L11881c113
V,4,265.6868,0.0010,50,2.5e+00,D,217836.3,255463.3,,T2757,"L147,L11926"
Cs,3,265.68867,0.00007,13000,6.10e+00,,173069.797,210696.634,,T8611,L14869
Ne,3,265.696,0.010,700l*,1.1e+00,D,446375.1+x,484001.3+x,,T8046,L10704
Ne,3,265.696,0.010,700l*,7.8e-01,D,446375.17+x,484001.3+x,,T8046,L10704
Ne,3,265.696,0.010,700l*,9.5e-01,D,446375.73+x,484001.3+x,,T8046,L10704
S,6,265.7,1.0,20bl,4.65e+00,A,546058.6,583674.1,,T7942c84,L4882
Pb,1,265.709370,0.000017,10,9.8e-04,C+,7819.2626,45443.1710,,T7227,L50
Fe,2,265.71698,0.00004,4000,4.2e-01,C+,62065.528,99688.355,,T6892c83,L18349c139
Ti,1,265.7186,0.0003,,3.2e-02,C,0.000,37622.575,,T3499n,L10989
Li,2,265.729,0.010,2,5.8049e-02,AAA,559500.35,597121.95,,T8636c73,L3501
V,2,265.7290,0.0004,1200*,2.7e-02,D+,14461.7495,52082.8854,,T9770,L18516
Li,2,265.730,0.010,3,9.6758e-02,AAA,559501.42,597121.95,,T8636c73,L3501
Co,2,265.7447,0.0015,370i,4.9e-02,D,64401.359,102020.364,,T6999,L4687c119
Fe,2,265.75875,0.00003,1800,7.0e-02,D+,71432.690,109049.611,,T6892c83,L18349c139
Ac,2,265.7809,0.0007,47000c,4.61e-01,C+,7426.489,45040.26,,T10463,L7344
Fe,2,265.78619,0.00014,2400,9.e-03,D,58666.199,96279.234,,T6892c83,L18349c139
Fe,2,265.79208,0.00007,5000,3.2e-02,D+,30388.5451,68000.785,,T6892c83,L18349c148
W,2,265.803186,0.000010,139,3.38e-01,B,1518.829,39129.460,,T7162,L11762
Mo,1,265.8110,0.0010,290,6.4e-01,B,11858.498,49468.023,,T5293,"L10250,L3475"
Pt,1,265.81694,0.00007,460,4.9e-02,C,10131.8684,47740.5680,,"T4200n,T3313",L11529
Fe,2,265.82518,0.00002,15000,2.1e-01,D+,31999.049,69606.567,,T6892c83,L18349c139
Cs,3,265.8366,0.0005,1100,6.20e-03,,171114.803,208720.735,,T8611,L14869
Fe,2,265.8411,0.0003,600,1.4e-02,D,62083.118,99688.355,,T6892c83,L18349c139
V,2,265.845386,0.000018,24000,4.7e-01,D+,34946.6366,72551.2964,,T9770,L18516
Cr,2,265.858839,0.000006,950,5.8e-01,D,11961.7464,49564.5038,,T3683,L18847
Fe,2,265.8705,0.0003,400,7.3e-02,D+,66463.542,104064.664,,T6892c83,L18349c139
Cs,3,265.8720,0.0002,16000c,1.11e+00,,164489.795,202090.692,,T8611,L14869
V,2,265.88802,0.00013,3100,2.9e-01,D+,30306.389,67904.995,,T9770,L18516
V,2,265.89650,0.00008,1700,3.4e-02,D+,14556.0689,52153.5082,,T9770,L18516
V,2,265.89935,0.00008,2700,4.1e-02,D+,14655.6082,52252.6480,,T9770,L18516
Fe,2,265.9000,0.0005,130d?,2.3e-02,D,66612.659,104209.618,,T6892c83,L18349c142
Fe,2,265.9062,0.0005,"170d,bl(Fe II)?*",1.8e-02,D+,66012.775,103608.921,,T6892c83,L18349c143
Fe,2,265.9062,0.0005,"170d,bl(Fe II)?*",2.5e-03,E,26352.7671,63948.803,,T6892c83,L18349c143
Fe,2,265.90899,0.00015,330,5.6e-02,D+,73016.184,110611.830,,T6892c83,L18349c139
Mn,2,265.9090,0.0006,80,6.e-01,D,44521.54,82117.22,,c88,L562
S,3,265.9180,0.0010,12,4.65e+00,D,167553.27,205147.80,,T6066c4,L11011
Eu,1,265.9398,0.0010,15,1.39e-02,C+,0.00,37591.21,,"T7227,T4819","L3780,L7586"
Pt,1,265.945075,0.000010,160000,9.90e-01,B+,0.0000,37590.5647,,T3313,"L9083,L11529"
V,2,265.96003,0.00006,5000,1.5e-01,C,17910.9147,55499.3690,,T9770,L18516
Fe,2,265.9664,0.0005,170d,1.3e-02,D+,66012.775,103600.428,,T6892c83,L18349c143
Fe,2,265.9832,0.0005,"160d,bl(Fe II)*",7.e-03,D,65580.065,103165.320,,T6892c83,L18349c143
Fe,2,265.9832,0.0005,"160d,bl(Fe II)*",6.6e-02,D+,66589.042,104174.285,,T6892c83,L18349c143
Ga,1,265.9873,0.0010,,1.22e-01,C+,0.000,37584.77,,T7574,L12180
Cs,3,265.9907,0.0005,1000s,2.58e-02,,148575.860,186160.020,,T8611,L14869
Ar,3,266.022,0.004,3,5.5e-02,E,187823.939,225404.1120,,"T1619CA,LS",L7491
S,2,266.0230,0.0010,2,1.57e-03,E,106044.24,143623.56,,T3186c85,L5883
Fe,2,266.02349,0.00003,5000,3.2e-01,D+,60989.444,98568.907,,T6892c83,L18349c145
Al,1,266.0393,0.0010,10g,2.84e-01,B,112.061,37689.407,,T7365,L3514
Fe,1,266.03970,0.00002,437,6.32e-03,B,7985.785,45562.974,,T5720,L11631
Tm,1,266.0417,0.0005,260,4.6e-03,C+,0.000,37576.866,,T3042n,L2006
Ag,2,266.044956,0.000021,26000,1.51e-01,C+,46049.0620,83625.5147,,T6475c86,L11881c113
Fe,2,266.0726,0.0005,160d?,3.2e-02,D,67000.530,104572.924,,T6892c83,L18349c143
Mg,2,266.0755,0.0010,8,3.81e-01,A,71490.19,109062.35,,c31,L6095
Fe,3,266.0813,0.0013,840,2.2e-02,D,82411.15,119982.34,,T6105,L3495
Mg,2,266.0817,0.0010,8,3.56e-01,A,71491.06,109062.32,,c31,L6095
Cs,3,266.0996,0.0005,25h,4.28e-04,,171189.785,208758.432,,T8611,L14869
Na,2,266.0997,0.0003,850,1.65e+00,B+,293220.33,330789.05,,T6036,L914
Fe,2,266.10022,0.00017,500,2.8e-02,D+,67000.530,104569.226,,T6892c83,L18349c139
S,5,266.1184,0.0010,11,2.46e+00,B+,311595.1,349161.1,,T7942c84,L5337
Sn,1,266.12436,0.00004,3700r,1.1e-01,D,1691.806,39257.053,,T4515,"L3149,L7378"
V,2,266.12494,0.00008,6400,1.9e-01,C,38193.023,75758.170,,T9770,L18516
V,1,266.14216,0.00009,730000,3.2e-01,B,552.955,38115.684&dagger;,,T9399,L15916
V,2,266.1427,0.0007,23000,4.2e+00,D+,47297.1150,84859.78,,T9770,L10089c179
Fe,2,266.17705,0.00003,6000,4.0e-01,C+,60887.606,98445.410,,T6892c83,L18349c139
Fe,2,266.18340,0.00008,500,1.9e-01,D+,73054.913,110611.830,,T6892c83,L18349c139
Fe,2,266.19363,0.00019,700,2.8e-01,D+,66248.647,103804.125,,T6892c83,L18349c139
Ti,1,266.1959,0.0003,14,8.9e-02,C,0.000,37555.058,,T3499n,L10989
Ir,1,266.198,0.010,1800,2.50e-01,B+,2834.98,40389.83,,"T4422,T7959",L3475
Fe,2,266.20328,0.00006,600,1.2e-01,D+,73016.184,110570.312,,T6892c83,L18349c139
Fe,1,266.20564,0.00006,580,4.64e-02,B,7728.060,45281.833,,T5720,L11631
Cs,3,266.2324,0.0005,750c,4.53e-03,,148575.860,186125.895,,T8611,L14869
Fe,3,266.2330,0.0013,860,1.9e-02,D,84370.15,121919.84,,T6105,L3495
Co,2,266.24825,0.00003,1600,3.0e-01,D,47039.105,84586.868,,T6999,L9429c118
Mn,2,266.2538,0.0006,200,9.e-01,D,36364.64,73911.57,,c88,L562
Fe,2,266.25565,0.00003,12000,1.3e+00,D+,47626.110,85172.826,,T6892c83,L18349c139
In,2,266.2636,0.0014,1100,1.0e-01,D+,107841.992,145387.70,,T9131,L3548c127
Co,2,266.26505,0.00008,1500,2.4e-02,D,28111.872,65657.249,,T6999,L9429c118
W,1,266.2835,0.0010,200r,4.2e-01,B,3325.53,40868.40,,T6977,L153
Pb,1,266.31535,0.00002,700,6.7e-01,C+,10650.3271,48188.6296,,T7227,L50
V,2,266.320787,0.000016,400000,4.7e+00,D+,35483.6058,73021.1428,,T9770,L18516
Fe,2,266.32257,0.00017,500,8.e-02,D+,66672.336,104209.618,,T6892c83,L18349c139
Fe,2,266.32601,0.00005,3200,3.6e-01,D+,62151.554,99688.355,,T6892c83,L18349c139
V,2,266.35106,0.00004,17000,8.e-02,D+,30613.910,68147.179,,T9770,L18516
Co,2,266.35308,0.00003,32000,5.5e-01,C+,9812.860,47345.845,,T6135,L9429c118
V,2,266.3560,0.0008,1100,2.7e-01,D+,47607.8215,85140.360,,T9770,L10089c179
Cs,3,266.3677,0.0005,250,4.20e-04,,171189.785,208720.735,,T8611,L14869
Fe,2,266.37269,0.00016,1000,1.1e-01,D+,62158.126,99688.355,,T6892c83,L18349c139
Hg,2,266.3748,0.0002,3000,1.1e-01,,108975.732,146505.679,,T7226,L11760
S,5,266.3955,0.0010,10,3.04e+00,B+,311595.1,349122.2,,T7942c84,L5337
Fe,2,266.41999,0.00007,3300,1.3e-02,D+,26352.7671,63876.325,,T6892c83,L18349c139
Fe,2,266.42591,0.00004,8000,9.9e-01,C+,54904.241,92426.967,,T6892c83,L18349c139
Zr,3,266.4286,0.0010,5000000,3.19e+00,,25068.35,62590.70,,T6869,L9267
Fe,2,266.4448,0.0005,160d?,8.e-02,D+,66672.336,104192.487,,T6892c83,L18349c143
Co,2,266.44874,0.00012,180,3.2e-01,D,67910.933,105430.432,,T6999,L9429c118
Fe,2,266.466347,0.000013,190000,1.91e+00,B+,27314.9183,64831.951,,T6892c83,L18349c139
Ir,1,266.479,0.010,2700,3.08e-01,B+,0.00,37515.31,,"T4422,T7959",L3475
W,1,266.4966,0.0010,100,1.78e-01,B,1670.29,39183.20,,T6977,L153
Sn,2,266.499,0.010,860,1.4e-01,D+,71493.273,109006.1,,T9352,L3368
Mo,1,266.5093,0.0010,110,1.32e-01,B,11858.498,49369.475,,T5293,"L10250,L3475"
Fe,2,266.5155,0.0005,130d,4.7e-03,D,66463.542,103973.782,,T6892c83,L18349c142
Fe,2,266.53245,0.00007,1800,1.2e-01,D+,62065.528,99573.244,,T6892c83,L18349c139
S,3,266.5408,0.0010,10,1.40e+00,D,173193.14,210699.24,,"T6066c4,LS",L11011
Fe,2,266.5411,0.0002,500,2.0e-02,D,67000.530,104507.058,,T6892c83,L18349c139
Cl,3,266.554,0.010,600,4.8e+00,D,204540.95,242046.2?,,"T1619CA,LS",L480
Fe,2,266.554052,0.000014,17000,8.6e-01,B+,60625.446,98130.136,,T6892c83,L18349c139
Tl,1,266.557,0.010,80,5.7e-02,C,,,,T4515,L3475
S,6,266.56,0.10,10w,5.19e+00,A,546047.6,583551.3,,T7942c84,L4882
Cr,2,266.601367,0.000006,2500,5.9e-01,D,12147.7713,49645.8058,,T3683,L18847
Fe,2,266.6101,0.0005,130?,1.2e-02,D,66377.315,103874.261,,T6892c83,L18349c142
Co,2,266.61582,0.00004,5600bl(Co I),2.0e-02,D,27105.744,64601.778,,T6999,L9429c118
Cu,2,266.62906,0.00005,230000,2.0e-01,C+,70841.4669,108335.6078,,T4280,L869c171
Fe,1,266.63985,0.00002,178,1.79e-02,B,7728.060,45220.681,,T5720,L11631
W,2,266.64856,0.00010,30,1.18e-01,B,7420.261,44911.659,,T7162,L11762
Co,2,266.65095,0.00004,1100,1.5e+00,D,67939.370,105430.432,,T6999,L9429c118
Fe,2,266.663566,0.000013,180000,1.87e+00,B+,27620.4033,65109.691,,T6892c83,L18349c139
Fe,2,266.66826,0.00002,8000,5.2e-01,C+,60956.781,98445.410,,T6892c83,L18349c139
Co,2,266.66929,0.00007,690,4.e-03,E,27468.988,64957.482,,T6999,L9429c118
Co,2,266.67395,0.00003,3400,2.3e+00,C+,48388.442,85876.271,,T6999,L9429c118
V,2,266.675088,0.000019,21000,3.5e-01,D+,35193.1820,72680.855,,T9770,L18516
Fe,2,266.67509,0.00002,9000,5.9e-01,C+,60807.239,98294.909,,T6892c83,L18349c139
Mn,2,266.6769,0.0018,300*,2.6e+00,C,44315.26,81803.31,,c88,L562
Fe,1,266.68123,0.00002,3630,8.91e-02,B+,6928.268,44415.074,,T5720,L11631
Mn,2,266.6894,0.0006,50,6.e-01,D,32857.27,70342.936,,c88,L562
Sc,3,266.6907,0.0010,6,4.8e-01,D,128107.12,165592.55,,T2886LS,L1891
Fe,2,266.69122,0.00013,2900,1.7e-02,D,25787.5816,63272.981,,T6892c83,L18349c139
Fe,1,266.69648,0.00006,468,5.16e-02,B,11976.239,49460.902,,T5720,L11631
Cs,3,266.7004,0.0005,1500h,3.12e-03,,202440.470,239924.534,,T8611,L14869
Mn,2,266.7030,0.0018,300*,1.8e+00,C,32859.15,70342.936,,c88,L562
Fe,2,266.70602,0.00007,1200,1.8e-01,D+,67273.833,104757.143,,T6892c83,L18349c139
Fe,2,266.721828,0.000017,23000,1.02e+00,C+,47389.809,84870.911,,T6892c83,L18349c148
Fe,2,266.73895,0.00011,400,3.0e-02,D+,73091.630,110570.312,,T6892c83,L18349c139
Fe,2,266.7521,0.0005,"190d,bl(Fe I)?",2.6e-02,D+,63272.981,100749.825,,T6892c83,L18349c143
V,2,266.75228,0.00018,710,3.9e-02,D+,13608.9393,51085.7739,,T9770,L18516
Fe,2,266.76163,0.00007,2000,2.3e-01,D+,61093.406,98568.907,,T6892c83,L18349c139
Sc,2,266.7699,0.0010,3*,1.5e+00,E,39115.04,76589.3,,T2757,L5141
Fe,1,266.79125,0.00006,135,1.69e-03,B,704.007,38175.355,,T5720,L11631
V,2,266.801,0.005,5600H,3.0e-01,D+,30267.511,67737.759,,T9770,L8201c179
Co,2,266.80650,0.00006,1100,1.7e+00,C+,67209.258,104678.460,,T6999,L9429c118
Fe,2,266.82476,0.00016,500,6.5e-02,D+,66411.712,103878.370,,T6892c83,L18349c139
Fe,2,266.85328,0.00009,1100,5.4e-01,D+,67273.833,104736.462,,T6892c83,L18349c139
Fe,2,266.86203,0.00011,1000,9.e-02,D+,65363.607,102824.994,,T6892c83,L18349c139
In,2,266.8658,0.0014,690,1.8e-01,D,102088.72,139549.42,,T7081,L3548c127
Hg,2,266.8682,0.0003,15,8.3e-03,,109191.648,146652.263,,T7226,L11760
Cr,2,266.870881,0.000006,1100,1.4e+00,D,12032.5447,49492.7111,,T3683,L18847
Cs,3,266.8801,0.0002,7200,3.59e+00,,163525.805,200984.677,,T8611,L14869
Fe,2,266.89092,0.00002,9000bl(Fe I),4.0e-01,C+,60837.560,98294.909,,T6892c83,L18349c148
W,2,266.89396,0.00010,3,5.33e-03,B,7420.261,44877.209,,T7162,L11762
Fe,2,266.900793,0.000016,12000,8.3e-01,C+,60989.444,98445.410,,T6892c83,L18349c139
Al,2,266.9157,0.0010,2500g,3.28e-05,A+,0.00,37453.91,,T6947,L4575
Cr,1,266.93677,0.00002,99,1.2e-01,E,7750.7465,45201.6676,,T3196,L14866
Fe,1,266.94931,0.00002,447,1.34e-01,B,19621.006,57070.171,,T5720,L11631
B,2,266.9498,0.0010,28,6.37e-01,B,144102.94,181552.03,,u27,L12120
Ti,1,266.9587,0.0003,14,1.0e-01,C,170.1328,37617.894,,T3499n,L10989
Co,2,266.97731,0.00003,5500,2.0e+00,C+,48150.940,85596.170,,T6999,L9429c118
W,1,266.9777,0.0010,40,5.8e-02,B,3325.53,40770.78,,T6977,L153
Cs,3,266.97933,0.00009,11000,3.92e+00,,175738.571,213183.517,,T8611,L14869
S,2,266.9812,0.0010,3,1.08e-02,D,106044.24,143488.95,,T3186c85,L5883
